Address,Latitude,Longitude,Category,Incident
"Dhaula Kuan, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110010, India",28.5918719,77.1617158,Indecent exposure," I'm a 58 year old woman and not used to seeing such happenings, even though I have had my share of being groped, touched inappropriately, felt...  
						  More Information »
« Less Information
"
"Dwarka, Dwarka, Gujarat 361335, India",22.2504892,68.9801474,Touching /Groping," a boy with whom I was in relationship with called me at a place and beat me very badly. He had been harassing me for long time. That he slapped...  
						  More Information »
« Less Information
"
"45, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Shivananda Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India",12.9718886,77.54578883887129,Stalking," I was stalked in this street and cat-called.  
						  More Information »
« Less Information
"
"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India",18.99097855,72.8312436746362,Touching /Groping," groped in the middle of the road  
						  More Information »
« Less Information
"
"Camp, Pune, Maharashtra, India",18.5216239,73.87175273262162,Stalking," I go to the race course for early morning runs. On multiple occasions I have noticed a man following us while we run. Once he followed us on...  
						  More Information »
« Less Information
"
"26, Electronic City Flyover, BTM Phase 1, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",12.840178349999999,77.65945688292477,Touching /Groping," Bus eve teasing  
						  More Information »
« Less Information
"
"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",19.0630217,72.8443515,Stalking," stalking near bandra station  
						  More Information »
« Less Information
"
"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",19.0630217,72.8443515,Stalking," Two guys stalked me on my way to college  
						  More Information »
« Less Information
"
"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India",18.99097855,72.8312436746362,Touching /Groping," Groped in the middle of the road  
						  More Information »
« Less Information
"
"Bahirat Patil Complex, Shivajinagar, 1090B, Hare Krishna Mandir Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.53162885,73.84332952943544,Commenting," At around 9 am in the morning, I was walking through the lane. It is like a little village road even though in the city. A group of boys standing...  
						  More Information »
« Less Information
"
"Bahirat Patil Complex, Shivajinagar, 1090B, Hare Krishna Mandir Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",18.53162885,73.84332952943544,Commenting," I usually walk through this lane around 9 am in the morning as I go to work. It is like a village road. As I was walking through I noticed a...  
						  More Information »
« Less Information
"
"24, Ramakanta Mistri Ln, Cossipore, Newland, College Square, Kolkata, West Bengal 700073, India",22.5745254,88.3644645,Commenting," I reported it to my parents and they had to get my dentist changed  
						  More Information »
« Less Information
"
"Unnamed Road, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi 110064, India",28.6252818,77.1209701,Ogling/Facial Expressions/Staring," Groped on a bus  
						  More Information »
« Less Information
"
"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India",25.6093239,85.1235252,Touching /Groping," My school auto driver always use to stare at me or try to talk to me whenever I alone in auto. He also tries to touch me. I complained it to...  
						  More Information »
« Less Information
"
