Name,Location
Anand Parbat Police Station,"Gali Number 10, Anand Parbat Industrial Area, Anand Parbat, New Delhi, 110005"
Nabi Karim Police Station,"Babu Ram Solanki Marg, Nabi Karim, Sadar Bazaar, New Delhi, 110055"
Chandani Mahal Police Station,"Asaf Ali Road, near Delight Cinema, New Delhi, Delhi, 110006"
Jama Masjid Police Station,"Gate – 3, 1424, Patel Gali Rd, Opposite, Dariba Kalan Rd, before, Jama Masjid, Old Delhi, New Delhi, Delhi, 110006"
Desh Bandhu Gupta Road Police Station,"3378,, 4Q, DB Gupta Road, Block 44Q, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005"
Kamla Market Police Station,"near Kamla Market, Kamla Market, Ajmeri Gate, New Delhi, Delhi, 110002"
Darya Ganj Police Station,"Bahadur Shah Zafar Marg, Daryaganj, New Delhi, Delhi, 110002"
Karol Bagh Police Station,"2682/1, Ajmal Khan Rd, Block 46, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005"
Hauz Qazi Police Station,"Hauz Qazi Chowk, Bazar Sirkiwalan, Kaccha Pandit Main Bazar, Lal Kuan Bazar, Chandni Chowk, New Delhi, Delhi, 110006"
Parsad Nagar Police Station,"30, Tank Rd, Prasad Nagar, Dev Nagar, Karol Bagh, New Delhi, Delhi, 110005"
I.P. Estate Police Station,"Mahatma Gandhi Marg, Gas Turbine Power Station, IP Estate, New Delhi, Delhi, 110002"
Patel Nagar Police Station,"Main Patel Rd, Block B, West Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008"
West Pahar Ganj Police Station,"2155, DB Gupta Road, Type 1, Aram Bagh, Paharganj, New Delhi, Delhi, 110055"
Rajinder Nagar Police Station,"Site No. 7, Plot No. 6, Green Estate Block B Road, New Rajinder Nagar, New Delhi, Delhi, 110060"
Ranjit Nagar Police Station,"New Ranjit Colony, Block B, New Ranjeet Nagar, Ranjeet Nagar, New Delhi, Delhi, 110008"
Dwarka Sector 23 Police Station,"Sector 23, Dwarka, New Delhi, Delhi, 110077"
Dwarka North Police Station,"Pocket A2, Pocket B, Sector 17 Dwarka, Dwarka, Delhi, 110075"
Dwarka South Police Station,"near ITL Public School, Dwarka Sector 9, Dwarka, New Delhi, Delhi, 110077"
Najafgarh Police Station,"Najafgarh Thana Rd, Najafgarh, Delhi, 110043"
Dabri Police Station,"Block E, Sitapuri Part 1, Sitapuri, New Delhi, Delhi, 110046"
Uttam Nagar Police Station,"JJ Colony, Uttam Nagar, Delhi, 110059"
Binda Pur Police Station,"Uttam Vihar, 40 Feet Rd, Block C, Bindapur, New Delhi, Delhi, 110059"
Chhawala Police Station,"Najafgarh Kapashera Rd, Deenpur, Gandhi Park, Najafgarh, Delhi, 110043"
Jaffarpur Kalan Police Station,"Rawta More, Jaffarpur Kalan, Delhi, 110073"
Baba Hari Dass Nagar Police Station,"Najafgarh Bahadurgarh Rd, Block A, Naveen Palace, Jharoda Kalan, Delhi, 110072"
Mohan Garden Police Station,"P3c, Block MS, Block P, Mohan Garden, Razapur Khurd, Delhi, 110059"
Preet Vihar Police Station,"Aditya Arcade, Acharya Nag Raj Marg, Nirman Vihar, C Block, Preet Vihar, Delhi, 110092"
Pandav Nagar Police Station,"Ram Kumar Gautam Marg, Near Bimla Devi Hospital, Mayur Vihar Phase II, Mayur Vihar, New Delhi, Delhi, 110091"
Ghazipur Police Station,"Integrated Freight Complex, Mayur Vihar Phase III, Gharoli, Delhi, 110096"
Mayur Vihar Police Station,"Trilok Puri Rd, Himmatpuri, Mayur Vihar, New Delhi, Delhi, 110091"
New Ashok Nagar Police Station,"Noida Road, Dalupura Marg, New Ashok Nagar, New Delhi, Delhi, 110096"
Kalyanpuri Police Station,"Kalyanpuri, Mayur Vihar Phase-I, near Chand Cinema, New Delhi, Delhi, 110091"
Pandav Nagar Police Station,"Kalyanpuri, Mayur Vihar Phase-I, near Chand Cinema, New Delhi, Delhi, 110091"
Madhu Vihar Police Station,"Mother Dairy Marg, Vinod Nagar, I.P.Extension, Patparganj, New Delhi, Delhi, 110092"
Shakarpur Police Station,"Ramesh Park Street Number 10, Block N, Ramesh Park, Laxmi Nagar, New Delhi, Delhi, 110092"
Mandawali Police Station,"Mother Dairy Marg, Vinod Nagar, I.P.Extension, Patparganj, New Delhi, Delhi, 110092"
Laxmi Nagar Police Station,"Ramesh Park Street Number 10, Block N, Ramesh Park, Laxmi Nagar, New Delhi, Delhi, 110092"
Patparganj Industrial Area Police Station,"Isbt Anand Vihar, Anand Vihar, Delhi, Uttar Pradesh, 110092"
Connaught Place Police Station,"20 A, Baba Kharak Singh Rd, Hanuman Mandir, Hanuman Road Area, Connaught Place, New Delhi, Delhi, 110001"
Barakhamba Road Police Station,"2 Barakhamba lane, Cannought Place, New Delhi, Delhi, 110001"
Mandir Marg Police Station,"PS Mandir Marg, Mandir Marg, Gole Market, New Delhi, Delhi, 110001"
Chanakya Puri Police Station,"Teen Murti Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi, 110021"
Parliament Street Police Station,"Sansad Marg Connaught Place, near Patel Chowk, New Delhi, Delhi, 110001"
North Avenue Police Station,"Bhanumati Rd, North Avenue Road Area, President’s Estate, New Delhi, Delhi, 110001"
Tilak Marg Police Station,"Tilak Marg, Near, India Gate, New Delhi, Delhi, 110001"
South Avenue Police Station,"72, South Avenue, Road, Teen Murti Marg Area, New Delhi, Delhi, 110011"
Tuglak Road Police Station,"Doctor APJ Abdul Kalam Road, Tughlak Road, Safdarjung Lane Area, New Delhi, Delhi, 110003"
Subzi Mandi Police Station,"Kabir Basti Marg, Sabzi Mandi Old, New Delhi, Delhi, 110007"
Bara Hindu Rao Police Station,"Naya Mohalla, Nawabganj, Tis Hazari, New Delhi, Delhi, 110006"
Sarai Rohilla Police Station,"Naya Mohalla, Nawabganj, Tis Hazari, New Delhi, Delhi, 110006"
Civil Lines Police Station,"Khyber Pass, Civil Lines, Delhi, 110054"
Kashmiri Gate Police Station,"Hamilton Rd, Chabi Ganj, Kashmere Gate, Delhi, 110006"
Timarpur Police Station,"201, Chaudhary Fateh Singh Marg, Indra Basti, Block C, Banarsi Das Estate, Timarpur, Delhi, 110054"
Lahori Gate Police Station,"Shradhanand Marg, Naya Bans, Shardhanand Market, Farash Khana, Lahori Gate, New Delhi, Delhi, 110006"
Mourice Nagar Police Station,"Vijay Nagar Marg, Reids Line Delhi Univ Staff Flats, Sarup Nagar, Delhi, 110007"
Roop Nagar Police Station,"Bangla Road, near Fire Station, Block 6, Roop Nagar, New Delhi, Delhi, 110007"
Gulabi Bagh Police Station,"Chaudhary Nand Lal Marg, Gulabi Bagh, Delhi, 110007"
Burari Police Station,"403-404, Sant Nagar Marg, Sant Nagar Extension, West Sant Nagar, Burari, New Delhi, Delhi, 110084"
Sadar Bazar Police Station,"Idgah Rd, Narain Market, Sadar Bazaar, New Delhi, Delhi, 110055"
