Name,Address,Latitude,Longitude
Anand Parbat Police Station,"Gali Number 10, Anand Parbat Industrial Area, Anand Parbat, New Delhi, 110005",28.6138954,77.2090057
Nabi Karim Police Station,"Babu Ram Solanki Marg, Nabi Karim, Sadar Bazaar, New Delhi, 110055",28.5771941,77.1111696
Chandani Mahal Police Station,"Asaf Ali Road, near Delight Cinema, New Delhi, Delhi, 110006",28.6138954,77.2090057
Jama Masjid Police Station,"Gate – 3, 1424, Patel Gali Rd, Opposite, Dariba Kalan Rd, before, Jama Masjid, Old Delhi, New Delhi, Delhi, 110006",28.6503372,77.2335173265788
Desh Bandhu Gupta Road Police Station,"3378,, 4Q, DB Gupta Road, Block 44Q, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005",28.6138954,77.2090057
Kamla Market Police Station,"near Kamla Market, Kamla Market, Ajmeri Gate, New Delhi, Delhi, 110002",28.644297,77.218545
Darya Ganj Police Station,"Bahadur Shah Zafar Marg, Daryaganj, New Delhi, Delhi, 110002",28.6301065,77.2174139
Karol Bagh Police Station,"2682/1, Ajmal Khan Rd, Block 46, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005",28.6138954,77.2090057
Hauz Qazi Police Station,"Hauz Qazi Chowk, Bazar Sirkiwalan, Kaccha Pandit Main Bazar, Lal Kuan Bazar, Chandni Chowk, New Delhi, Delhi, 110006",28.6138954,77.2090057
Parsad Nagar Police Station,"30, Tank Rd, Prasad Nagar, Dev Nagar, Karol Bagh, New Delhi, Delhi, 110005",28.6138954,77.2090057
I.P. Estate Police Station,"Mahatma Gandhi Marg, Gas Turbine Power Station, IP Estate, New Delhi, Delhi, 110002",28.63269145,77.24559048072408
Patel Nagar Police Station,"Main Patel Rd, Block B, West Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008",28.6473207,77.1651487
West Pahar Ganj Police Station,"2155, DB Gupta Road, Type 1, Aram Bagh, Paharganj, New Delhi, Delhi, 110055",28.6398522,77.2130306
Rajinder Nagar Police Station,"Site No. 7, Plot No. 6, Green Estate Block B Road, New Rajinder Nagar, New Delhi, Delhi, 110060",28.6357855,77.1841395
Ranjit Nagar Police Station,"New Ranjit Colony, Block B, New Ranjeet Nagar, Ranjeet Nagar, New Delhi, Delhi, 110008",28.6457952,77.159466
Dwarka Sector 23 Police Station,"Sector 23, Dwarka, New Delhi, Delhi, 110077",28.564507,77.0546328
Dwarka North Police Station,"Pocket A2, Pocket B, Sector 17 Dwarka, Dwarka, Delhi, 110075",28.592318499999998,77.02861513501492
Dwarka South Police Station,"near ITL Public School, Dwarka Sector 9, Dwarka, New Delhi, Delhi, 110077",28.574272,77.0653316
Najafgarh Police Station,"Najafgarh Thana Rd, Najafgarh, Delhi, 110043",28.6112923,76.9800768
Dabri Police Station,"Block E, Sitapuri Part 1, Sitapuri, New Delhi, Delhi, 110046",28.6138954,77.2090057
Uttam Nagar Police Station,"JJ Colony, Uttam Nagar, Delhi, 110059",28.6215226,77.0611064
Binda Pur Police Station,"Uttam Vihar, 40 Feet Rd, Block C, Bindapur, New Delhi, Delhi, 110059",28.60852965,77.06616508067111
