Category,Location,Incident,Date/Time
Indecent exposure,"Dhaula Kuan, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110010, India"," I'm a 58 year old woman and not used to seeing such happenings, even though I have had my share of being groped, touched inappropriately, felt...  
						  More Information »
« Less Information
","18:28 Oct 22, 2020"
Touching /Groping,"Dwarka, Dwarka, Gujarat 361335, India"," a boy with whom I was in relationship with called me at a place and beat me very badly. He had been harassing me for long time. That he slapped...  
						  More Information »
« Less Information
","15:00 Jun 16, 2020"
Stalking,"45, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Shivananda Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India"," I was stalked in this street and cat-called.  
						  More Information »
« Less Information
","14:00 May 20, 2020"
Touching /Groping,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India"," groped in the middle of the road  
						  More Information »
« Less Information
","15:01 Mar 13, 2020"
Stalking,"Camp, Pune, Maharashtra, India"," I go to the race course for early morning runs. On multiple occasions I have noticed a man following us while we run. Once he followed us on...  
						  More Information »
« Less Information
","07:00 Mar 04, 2020"
Commenting,"Bunsenstraße 15, 34127 Kassel, Deutschland"," A man sat down with me and my friend at the table and started commenting about my looks and when asked to be left alone he started touching...  
						  More Information »
« Less Information
","21:00 Feb 28, 2020"
Touching /Groping,"Ioi Resort, Putrajaya, Selangor, Malaysia"," The harasser (a guy) groped my boobs and butt for almost a week while we were working as servers. I resigned a week later.  
						  More Information »
« Less Information
","16:00 Jan 15, 2020"
Touching /Groping,"26, Electronic City Flyover, BTM Phase 1, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India"," Bus eve teasing  
						  More Information »
« Less Information
","10:00 Jan 10, 2020"
Stalking,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India"," stalking near bandra station  
						  More Information »
« Less Information
","15:00 Dec 24, 2019"
Stalking,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India"," stalking near bandra station  
						  More Information »
« Less Information
","15:00 Dec 24, 2019"
Stalking,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India"," Two guys stalked me on my way to college  
						  More Information »
« Less Information
","23:00 Dec 22, 2019"
Touching /Groping,"Kuala Lumpur Station, Kampung Attap, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"," An Indian man stand closely to me; from back and tried to grope my butt but luckily i was carrying a backpack  
						  More Information »
« Less Information
","18:00 Nov 25, 2019"
Ogling/Facial Expressions/Staring,"3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia"," I was walking in the mall or on the streets, and a lot men tend to stare unnecessarily. It's not that I even wear provocative clothes, but because...  
						  More Information »
« Less Information
","16:00 Nov 25, 2019"
Catcalls/Whistles,"Persiaran Kolej, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia"," Catcalling me even I ignored them  
						  More Information »
« Less Information
","11:00 Nov 11, 2019"
Touching /Groping,"Ss 16, Subang Jaya, Selangor, Malaysia"," I was locked in the car with the guy in a basement carpark. He forced kiss my neck and touched my body  
						  More Information »
« Less Information
","15:00 Nov 08, 2019"
Touching /Groping,"Federal Hwy, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"," Some guy touching a woman without consent. Suddenly the woman scream and starts crying.  
						  More Information »
« Less Information
","11:00 Nov 07, 2019"
Catcalls/Whistles,"1, Jalan PJS 11/7, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia"," They catcalled me.  
						  More Information »
« Less Information
","21:00 Oct 25, 2019"
Touching /Groping,"Dato' Keramat, Kampung Datuk Keramat, 54000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"," He touch my shoulder while driving and touch my lips without any purpose.  
						  More Information »
« Less Information
","13:00 Oct 18, 2019"
Sexual Invites,"103, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"," There was this guy who catcalled my friend and invited us to go clubbing with him at the Bukit Bintang MRT station, we ignored him but he proceed...  
						  More Information »
« Less Information
","19:00 Oct 14, 2019"
Stalking,"Paradigm Mall, 1, Jalan SS 7/28, Ss 3, 47301 Petaling Jaya, Selangor, Malaysia"," A group of 3 guys followed me from my ride in a bus to paradigm mall. One of the guys took a picture of me without my consent and followed me...  
						  More Information »
« Less Information
","16:00 Oct 11, 2019"
Indecent exposure,"33, Jalan Teknologi, Pju 5 Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia"," He pulled out his penis and begged for an oral sex. He then desperately offer me money for it.  
						  More Information »
« Less Information
","17:00 Oct 05, 2019"
Touching /Groping,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India"," Groped in the middle of the road  
						  More Information »
« Less Information
","20:00 Oct 01, 2019"
Catcalls/Whistles,"9, Jalan Maxwell, Pusat Bandar Rawang, 48000 Rawang, Selangor, Malaysia"," Crossing the road one day with my friends and lorry driver honked and catcalled us  
						  More Information »
« Less Information
","16:00 Sep 12, 2019"
Catcalls/Whistles,"Jalan Anjung U8/34, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia"," A girl walk passed and someone started cat calling.  
						  More Information »
« Less Information
","12:00 Sep 12, 2019"
Touching /Groping,"Persiaran Kewajipan, Usj 6, 47600 Subang Jaya, Selangor, Malaysia"," i was going down the stairs and a man skipped past me, pretending to be on the phone on one hand while taking the advantage to touch my butt...  
						  More Information »
« Less Information
","11:00 Sep 10, 2019"
Commenting,"Bahirat Patil Complex, Shivajinagar, 1090B, Hare Krishna Mandir Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India"," At around 9 am in the morning, I was walking through the lane. It is like a little village road even though in the city. A group of boys standing...  
						  More Information »
« Less Information
","09:00 Sep 06, 2019"
Commenting,"Bahirat Patil Complex, Shivajinagar, 1090B, Hare Krishna Mandir Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India"," I usually walk through this lane around 9 am in the morning as I go to work. It is like a village road. As I was walking through I noticed a...  
						  More Information »
« Less Information
","09:00 Sep 06, 2019"
Ogling/Facial Expressions/Staring,"21038 Kirkland Woods Dr, Houston, TX 77095, USA"," He is an insatiable sex Addict who manipulated and seduces or sexually assaults HUNDREDS of naive women and men that he meets online and at...  
						  More Information »
« Less Information
","18:30 Sep 01, 2019"
Ogling/Facial Expressions/Staring,"Pusat Bandar Puchong, Pusat Bandar Puchong, 47100 Puchong, Selangor, Malaysia"," I was in the lrt and a man duduk beside me and like turned his body slightly facing me and just pandang i. so I looked back at him, buat eye...  
						  More Information »
« Less Information
","15:00 Aug 17, 2019"
